,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,0,Business Analyst - Data Science,$37K - $68K (Glassdoor est.),"Meet MedPro Group. We’re an industry-leading Berkshire Hathaway insurance company with a passion for our clients and our team. We are hundreds of professionals with varied backgrounds and experience levels who came together to achieve one goal: protecting those who have made it their mission to serve and care for others. Never considered the insurance industry before? We think you should.

In this role you will…

Translate business needs, processes and procedures into a workable system, and articulate on specific data science requirements by communicating about these requirements with technology experts.
Participate in developing functional requirements, testing, training and implementing data science solutions. Develop detailed system requirements based on business needs, utilizing standard documentation guidelines and coordinating with technical resources throughout project cycle.
Participate in reviewing, analyzing, and evaluating Underwriting and Claims' user needs.
Participate in project meetings, project tracking, analysis, and reporting. Provide reporting analysis on key projects and delivery outcomes with the business clients.
Develop documents for Data Science applications, system specifications and test plans, according to existing standards and methodologies.
Support implementation of high impact, cross-functional projects aligned with strategic business initiatives under the direction of a Project Manager or Data Scientist.
Support small to medium size projects including project planning, requirements definition and documentation, test case definition, execution of testing, and project implementation.
Assist in handling post-production issues until project has been approved for release to the business.
Perform other duties as assigned.

We are looking for candidates with…

Bachelor’s degree or equivalent project/insurance experience.
3 or more years of related project or insurance experience.
Strong analytical skills.
Ability to resolve problematic issues in an efficient manner.
Excellent organizational and communication skills, demonstrated ability to work across technical and non-technical resources.
Understanding of systems and technical design.
Strong PC skills including Word, Excel, PowerPoint, and Visio.
Demonstrated ability to work independently and as a team member.
Ability to handle multiple, changing priorities, and deadlines in a very fast paced working environment.

Why MedPro?

MedPro Group’s mission is built on a century-old legacy of protecting those who protect others. From our roots in our hometown of Fort Wayne, Indiana, we've worked diligently to become the nation's premier healthcare liability coverage provider, currently insuring more than 250,000 customers. With that growth, we've built a significant presence in all 50 states. Our team works across the country to provide the best strategies to mitigate risk and preserve the reputations of those who have entrusted their good name to us. That passion – built on a foundation of a culture that values uncompromised integrity, obsessive client focus, great teamwork, and a long-term mindset – makes MedPro a preferred employer that many call their career home.


MedPro Group is an Equal Opportunity Employer.",3.7,"MedPro Group
3.7","Fort Wayne, IN",-1,501 to 1000 Employees,1899,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
1,1,Software Engineer - Data Science,$37K - $68K (Glassdoor est.),"Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in Government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with a dynamic team and key stakeholders to generate and execute challenging solutions to mission problems.
We are seeking Software Engineers of all levels with Data Science experience. The position requires a self-starter with excellent problem-solving skills. The right person will work closely with the customer to gather requirements for assisting in solving real world problems using data science techniques. The candidate should be experienced with exploratory data analysis, machine learning, network graph modeling, information insight, data mining, data driven analytics and statistical methods.",3.7,"ClearEdge
4.1","Annapolis Junction, MD",-1,51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1
2,2,Data Analyst,$37K - $68K (Glassdoor est.),"This position will be responsible for the development and maintenance of the company’s data analytic platform enabling business units to make decisions and achieve better outcomes for the company. A key partner promoting collaboration with cross-functional teams to design innovating reporting capabilities that provide key insights into cloud adoption, quality metrics and business KPI’s. The successful candidate must have knowledge of Business Intelligence, Data Warehousing, ETL database functionality and data modelling; effectively handle multiple work assignments, while consistently deliver high quality work; and will apply their experience in analytics, data visualization and modeling to find solutions for a variety of business and technical problems; querying and analyzing small and large data sets to discover patterns and deliver meaningful insights; and demonstrated ability to self-organize and prioritize multiple time-sensitive tasks on a daily basis.
Essential Functions and Responsibilities:",3.7,"Bell Partners
3.6","Raleigh, NC",-1,1001 to 5000 Employees,1976,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
3,3,CLINICAL DATABASE MANAGER II,$37K - $68K (Glassdoor est.),"The University of Alabama at Birmingham (UAB) seeks a Clinical Database Manger II that is responsible for the design, implementation and interpretation of research data projects. Directs others in the analysis of large data sets, instrument design, and data management in addition to providing data support for administrative operations and non-research clinical issues. Assumes responsibility as technical consultant to faculty members developing funded proposals.

This position will commit to fostering an environment of heightened security following Information Technology Security Polices and participating in security training, such as Health Insurance Portability and Accountability Act (HIPAA) and National Institutes of Health Security Awareness Training on an annual basis. Applies advanced statistical and technical skills in the design of research studies. Collects, compiles, and analyzes statistical data. Performs complex statistical analyses for a broad spectrum of data and studies. Reviews programs written by other statisticians and verifies statistical output and results. Oversees programming and database handling to assure high quality data collection. Explains complex statistical concepts and produces written interim and final project reports.",3.7,"University of Alabama at Birmingham
4.1","Birmingham, AL",-1,10000+ Employees,-1,College / University,Colleges & Universities,Education,$1 to $2 billion (USD),-1
4,4,Corporate Planning Analyst,$37K - $68K (Glassdoor est.),"Waystar modernizes healthcare payments through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; kindness; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.

With the guidance of the Sr. Director, Financial Planning and Analysis, and leveraging Microsoft PowerBI, this position will work with a team to reshape and enhance analytics on a variety of items related to internal and external financial reporting. Individuals in this position are expected to develop a broad knowledge of Waystar’s business, industry, and operations in order to support analysis and decision making at all levels of the organization.",3.7,"Waystar
3.9","Louisville, KY",-1,501 to 1000 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
5,5,Application and Data Specialist,$37K - $68K (Glassdoor est.),"Minnesota Valley Electric Cooperative (MVEC), a progressive south-west metro member-owned electric utility with 100 employees, is seeking a Data and Application Specialist to join the team.
The Data and Application Specialist supports MVEC’s IT applications, data, and business intelligence environments. Responsible for lifecycle management of business applications including: application support, database maintenance and software upgrades. Will analyze data to provide insightful, actionable information utilizing a strong data background including SQL, database architecture, report & dashboard development, and experience with Business Intelligence Applications. Maintains security of these applications while ensuring a positive and productive end user experience. Assists the IT Systems Analyst with supporting client-side applications, as well as backing up the IT Business Consultant with iVue, report development and system integrations.",3.7,Minnesota Valley Electric Cooperative,"Jordan, MN",-1,-1,-1,-1,-1,-1,-1,-1
6,6,Quality Runner,$37K - $68K (Glassdoor est.),"Who We Are
WanderJaunt is building the future of hospitality by bringing the consistency, reliability and service of traditional hotels into the short term rental industry. We provide seamless hospitality experiences for our guests and end-to-end property management services for our partners. Our goal — to create a world where everyone feels at home.
Our diverse set of teams enables us to support operations for single-family homes, converted shipping containers, multifamily properties, and everything in between. Our Design and Procurement teams express our brand promise and sense of style in each market and unit, and our thoughtful, supportive Customer Care team ensures that every guest is noticed and heard. Behind the scenes, we leverage our Engineering, Product, and Data Science talent to scale our ability to deliver great experiences over and over again.",3.7,"WanderJaunt
3.3","Phoenix, AZ",-1,51 to 200 Employees,2016,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,-1
7,7,Partner Enablement,$37K - $68K (Glassdoor est.),"Imagine New Horizons......
Do you want to be inspired and enjoy coming to work? At Dassault Systèmes, we empower our employees and support their passion to change the world and build the future. Let’s design new horizons together with the power of 3DEXPERIENCE virtual universes!
Dassault Systemes’ BIOVIA brand is committed to enhancing and speeding innovation, improving productivity and compliance, reducing costs, and accelerating product development from research and product ideation through commercialization and manufacturing for science-driven enterprises of all industries.
What Will Your Role Be?
The Service Partner Enablement will collaborate with the Professional Service leadership team and cross-functional stakeholders in various organizations to (i) establish a Professional Service enablement program and (ii) define appropriate training and certification paths related to the implementation of BIOVIA products. You will be responsible for ensuring our channel partners and Dassault Systemes BIOVIA Service employees have the skills and training needed to successfully provide service to BIOVIA solutions. In this role you will be a mentor to Dassault Systemes BIOVIA Service employees and channel partners by providing implementation design guidance and best practices.",3.7,"Dassault Systèmes
3.6","San Diego, CA",-1,10000+ Employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
8,8,Sr Product Development Consultant,$37K - $68K (Glassdoor est.),"Simbex is an experienced medical device and consumer health product design and development partner that excels in transforming your most complex ideas into game-changing commercial solutions.

The Sr Product Development Consultant is an experienced MedTech developer who can lead the development of novel medical device and consumer health products across a wide range of technical domains and markets. The ideal candidate will be comfortable working directly with clients, organizing and leading teams. The Sr Product Development Consultant will work with clients to understand their business and product needs including product definition, development strategy, systems level design, system integration, and product verification/validation. The Sr. Product Development Consultant will work with project and cross-functional teams at Simbex to deliver innovative technical solutions that exceed client expectations. Simbex works across many different markets within the medical device, digital health, and consumer health markets. This is a great opportunity to be at the front edge of these markets by working with innovators commercializing the next frontier of transformative products.",3.7,"Simbex
3.6","Lebanon, NH",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
9,9,SharePoint/Data Engineer,$37K - $68K (Glassdoor est.),"General Responsibilities:
Provide SharePoint site collection administrator duties across multiple networks and security enclaves
Knowledge Management activities
Provide training and customer service support to over 300 garrison based and globally deployed units
Manage and process intel data associated with the respective systems
Produce usage and process metrics specific to the requesting organization(s)
Process improvement",3.7,Excelerated Analytics LLC,"Quantico, VA",-1,-1,-1,-1,-1,-1,-1,-1
