,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Science (Privacy) Manager,$101K - $163K (Glassdoor est.),"Neustar is an information services and technology company and a leader in identity resolution providing the data and technology that enables trusted connections between companies and people at the moments that matter most. More information is available at https://www.home.neustar.

Job Requisition:

R-3330 Data Science (Privacy) Manager (Open)

Primary Location:

SAN DIEGO

Job Description:

Who are we?

As a company built on the foundation of Privacy by Design, for more than 20 years Neustar’s unique capabilities have made us the leader in the field of responsible identity resolution. Neustar enables trusted connections between companies and people at the moments that matter most, with world-class and industry leading solutions in Marketing, Risk, Communications, Security and Registry services.

Job Requisition:

Data Science Mgr (Privacy)

Job Description:

As a member of the Data Science R&D team, you will develop next-generation privacy technologies that impact how we collect, use, and share user data. You’ll be collaborating across the company and touch on all stages of user data lifecycle; from client-side data collection, to privacy-preserving data releases to our advertisers/publishers, and machine-learning/inference using secure multi-party computing techniques.

Application areas include Identity Resolution, Marketing Analytics Security and Fraud and other Business Solutions supported by our or our client’s data.

What You’ll Do
Use data anonymization and cryptographic techniques to develop systems that will preserve and improve privacy protections.
Lead the development of industry leading privacy products and features.
Minimum Qualifications
Experience in one or more of the following areas: differential privacy, data anonymization or secure multi-party computing.
Experience with Python Or C/C++ Or Java.
Hands on experience in Machine Learning.
Master’s degree in Computer Science, Mathematics, Statistics or a related field (we will consider applicants with a Bachelor’s degree and relevant work experience as well)
Strong written and oral communication skills.
Strong inter-personal collaboration skills. Being able to both work in groups or as an individual contributor.
General curiosity, a willingness to experiment, pragmatism and the ability to handle ambiguity
Preferred Qualifications
PhD in privacy/cryptography/statistics preferred
2+ years of relevant work experience in differential privacy or secure multi-party computing (preferred)
Why work for us

At Neustar, we are committed to the growth and development of our employees whose individual skills, curiosity, and passion for their work, contribute to the overall success of our business. Our core values (Accountability, Collaboration, Transparency, Resilience, and Respect) are the driving force of our culture across our locations around the globe. We offer our employees a comprehensive benefits package including perks such as tuition reimbursement, awesome company discounts, back-up day care, community service events, pet and baby swag and much more! We are all learning and creating together and having some major fun along the way. JOIN US! We can’t wait to meet you!

Neustar does not accept unsolicited resumes from external firms or agencies. Neustar will not be responsible for placement fees associated with unsolicited resumes.

DIVERSITY
Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.

EOE of Minorities/Females/Vets/Disability
Neustar, Inc. considers all applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, or status as a Vietnam-era or special disabled veteran in accordance with federal law and other state and local requirements. Neustar, Inc., complies with applicable state and local laws prohibiting discrimination in employment and provides reasonable accommodation to qualified individuals with disabilities in accordance with the American with Disabilities Act (ADA) and applicable state and local laws.",3.9,"Neustar
3.9","San Diego, CA",-1,1001 to 5000 Employees,1996,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD),-1
1,Software Engineer - Data Science,$101K - $163K (Glassdoor est.),"Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in Government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with a dynamic team and key stakeholders to generate and execute challenging solutions to mission problems.
We are seeking Software Engineers of all levels with Data Science experience. The position requires a self-starter with excellent problem-solving skills. The right person will work closely with the customer to gather requirements for assisting in solving real world problems using data science techniques. The candidate should be experienced with exploratory data analysis, machine learning, network graph modeling, information insight, data mining, data driven analytics and statistical methods.
You will excel in this role if you are:
Results-oriented developer who can leverage your technical skills and techniques to successfully design, develop and deploy software solutions
Self-motivated and have a desire to build new skills
Are familiar with Agile frameworks and methodologies with a desire to be a certified SCRUM Master
Enjoy learning new technologies, are a forward thinker, and are interested in growing your career with a cutting-edge technology company
A day in the life consists of:
Working directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems
Creating and deploying predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods
Performing enterprise level software development, integration, and implementation using advanced data science or big data technologies
Establishing and implementing end-to-end proof of concepts
Performing data mining, statistical analysis, predictive modeling and simulation, and forecasting for the development of solutions
Working across multi-functional teams to formulate, prototype, implement, and fine tune solutions
Educating product development and operations teams using documentation, presentations, and demonstrations
Establishing strong, collaborative working relationships with Government customers, technical staff, and peers
What we are expecting from you:
Experience in the design and development of data science software applications
Bachelor’s or Advanced degree in Computer Science, Computer Engineering, or other technical discipline
Experience with Exploratory Data Analysis including wrangling, grooming, transformation, and analysis
Experience applying statistical methods to solve data problems
Software development programming experience in languages such as Python, R, Java, Scala
Experience using IDE tools such as Jupyter to develop and demonstrate results
Experience with integrating and using Data Science libraries such as scikit-learn, MlLib, Pandas, python (Jupyter, scikit-learn, pandas, etc.), R, Java
Experience with supervised and unsupervised machine learning techniques
Experience with Agile development and Agile tools (i.e. Jira, Confluence)
Experience within the SIGINT mission environment and an understanding of customer data formats
Strong analysis and problem-solving experience
Nice to have:
Experience using large-scale distributed frameworks such as Hadoop, Spark, Tensorflow
Experience with GPU-based machine learning techniques


About us: Experienced advanced analytic development company providing new Cyber solutions to current and emerging missions.
Our Core Values of Honesty, Integrity, Loyalty, Fairness, Respect, Responsibility, and Accountability drive our mission and vision and are the heart of what we do each day. We combine our Core Values with the three key elements of people, technology, and integrity to repeatedly deliver stellar results within our primary competencies.
ClearEdge is also pleased to share that we have recently expanded our prime and subcontract presence into new Cyber markets!
If this position does not fit your skillset, please visit our Careers page to explore our current openings, or contact a ClearEdge recruiter at careers@clearedgeit.com. ClearEdge is an equal opportunity employer.",3.9,"ClearEdge
4.1","Annapolis Junction, MD",-1,51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1
2,Data Analyst,$101K - $163K (Glassdoor est.),"This position will be responsible for the development and maintenance of the company’s data analytic platform enabling business units to make decisions and achieve better outcomes for the company. A key partner promoting collaboration with cross-functional teams to design innovating reporting capabilities that provide key insights into cloud adoption, quality metrics and business KPI’s. The successful candidate must have knowledge of Business Intelligence, Data Warehousing, ETL database functionality and data modelling; effectively handle multiple work assignments, while consistently deliver high quality work; and will apply their experience in analytics, data visualization and modeling to find solutions for a variety of business and technical problems; querying and analyzing small and large data sets to discover patterns and deliver meaningful insights; and demonstrated ability to self-organize and prioritize multiple time-sensitive tasks on a daily basis.
Essential Functions and Responsibilities:
Azure Analysis Services - Tabular Modeling with development experience in Perspectives, Partitions and Design Aggregations
Tabular Object Model (TOM), Analysis Management Object (AMO), Tabular Model Scripting Language (TMSL)
Data Preparation, Profiling and ELT in the context of Tabular Model; Performance tuning of Tabular Models
Experience with Power BI including visualization parameters, report optimization creating measures, Power BI modeling, Power BI Reports/Dashboards and SQL Reporting Services
Understands high level technical solution & develop solution/code using Azure technology
Development in Azure Data Factory including Pipelines, Datasets, and Data Flows
Experience in development with data warehousing platforms
Setup and Configure CI/CD pipelines using Azure DevOps
Azure DevOps and Azure IaaS / PaaS environments
Visual Studio and SQL Management Studio
Azure SQL Database platforms including Azure SQL, and SQL Managed Instance
Analysis Services row-level security and bi-directional relationships
MDX, DAX, XMLA
Handling Historical Data
Interested in learning new technologies, creative, open-minded and a great team player
Adept at task switching to handle varying workload
Additional Functions and Responsibilities
Work with System Testing and UAT teams to analyze and resolve opened defects
Ability to do activities from Development to Deployment. Should be able to Code, Unit Test & Deploy
Assists with other tasks and projects as requested
Knowledge/Skills/Abilities
Forward thinking information professional with a proven, in depth understanding of analytical and statistical approaches to transform the way in which data is translated into actionable intelligence while encompassing a customer focused culture.
Proven experience in application development product delivery and project management with demonstrated skills in relationship building, negotiation, conflict resolution, agile leadership/mindset, and project management of multi-function teams.
Ability to be able to learn quickly, always improving existing skills and developing new ones. Team working, helpful, open, and willing to share knowledge with colleagues
Education & Background
Bachelor’s degree in Computer Science, Information Technology, or equivalent work experience.
4+ years of experience in designing, deploying, and maintaining SQL Server infrastructures.
Azure SQL and Analytics Platforms
ETL data integration with external data sources and SQL Server.
Demonstrate a strong understanding of a range of BI tools, analysis techniques and visualization technologies, and be comfortable dealing with clients at all levels.
Excellent written and verbal communication skills, interpersonal and collaborative skills.
Other Requirements:
These are physical and mental requirements of the position as it is typically performed. Inability to meet one or more of these physical or mental requirements will not automatically disqualify a candidate or employee from the position. Upon request for a reasonable accommodation, the Company may be able to adjust or excuse one or more of these requirements, depending on the requirement, the essential functions to which it relates, and the proposed accommodation.
Physical Requirements: See; Color Perception; Hearing/Listening; Clear Speech; Manual Dexterity; Walk; Bend; Reach; Lifting - 25 Pounds; Sit, Stand.
Mental/Reasoning Requirements: Reading-Complex; Writing- Complex; Clerical; Basic Math Skills; Analysis/Comprehension, Judgment/Decision Making
Work Environment: Works Alone; Works with Others; Verbal Contact with Others; Face to Face Contact; Electrical Equipment;
The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and/or skills required for this position.
Bell Partners, Inc. (“BPI” or the “Company”) is an equal employment opportunity employer. BPI’s policy is not to discriminate against any applicant or employee based on race, color, sex, religion, national origin, age, disability, pregnancy, military/veteran status, marital status, genetic information, gender identity, sexual orientation or any other basis protected by applicable federal, state, or local laws. BPI also prohibits harassment of applicants or employees based on any of these protected categories. It is BPI’s policy to comply with all applicable state and federal laws respecting consideration of unemployment status in making hiring decisions.
Note to Applicants: Smoking is prohibited in all indoor areas of Bell Partners Inc. unless designated smoking areas have been established by a particular location in accordance with applicable state and local law.",3.9,"Bell Partners
3.6","Raleigh, NC",-1,1001 to 5000 Employees,1976,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
3,CLINICAL DATABASE MANAGER II,$101K - $163K (Glassdoor est.),"The University of Alabama at Birmingham (UAB) seeks a Clinical Database Manger II that is responsible for the design, implementation and interpretation of research data projects. Directs others in the analysis of large data sets, instrument design, and data management in addition to providing data support for administrative operations and non-research clinical issues. Assumes responsibility as technical consultant to faculty members developing funded proposals.

This position will commit to fostering an environment of heightened security following Information Technology Security Polices and participating in security training, such as Health Insurance Portability and Accountability Act (HIPAA) and National Institutes of Health Security Awareness Training on an annual basis. Applies advanced statistical and technical skills in the design of research studies. Collects, compiles, and analyzes statistical data. Performs complex statistical analyses for a broad spectrum of data and studies. Reviews programs written by other statisticians and verifies statistical output and results. Oversees programming and database handling to assure high quality data collection. Explains complex statistical concepts and produces written interim and final project reports.

Responsibilities:
Writes and reviews statistical and outcome sections of study reports and submissions.
Assesses feasibility of analysis requests and associated time lines.
Evaluates research studies and recommends statistical procedures.
Delegates and verifies work of junior statisticians.
Helps new statisticians get familiar with procedures and programming environment.
Tutors students in statistics as requested by department.

Annual Salary Range: $69,596.8 - $114,150.4

Masters in statistics, data science or related field and five (7) years related experience required. Work experience may NOT substitute for education requirement.
Ideal candidate has advanced skills in SAS programming language including the use of SAS for complex statistical analyses including: SAS macros, proc sql, etc.
Primary Location University
Job Category Information Technology
Organization 311851100 Surg-Kirklin Inst for RES in Surgical Outcomes
Employee Status Regular
Shift Day/1st Shift",3.9,"University of Alabama at Birmingham
4.1","Birmingham, AL",-1,10000+ Employees,-1,College / University,Colleges & Universities,Education,$1 to $2 billion (USD),-1
4,Corporate Planning Analyst,$101K - $163K (Glassdoor est.),"Waystar modernizes healthcare payments through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; kindness; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.

With the guidance of the Sr. Director, Financial Planning and Analysis, and leveraging Microsoft PowerBI, this position will work with a team to reshape and enhance analytics on a variety of items related to internal and external financial reporting. Individuals in this position are expected to develop a broad knowledge of Waystar’s business, industry, and operations in order to support analysis and decision making at all levels of the organization.
Looking for some details?
Drive business value and performance through innovative data analytics
Proactively and independently identify opportunities for improvement
Gathering, combining, and analyzing data from a variety of sources and systems
Creating presentation materials for Executive Management and Board meetings
Developing and implementing new metrics of business, financial, and operational performance
Automating and streamlining business process to arrive at the right answer faster
Do you fit our team?
Bachelor degree in finance, business, accounting, data science, or computer studies preferred
3-5+ years of similar work experience required
Desire to develop into a world-class PowerBI specialist
Proficiency in DAX
Working knowledge of Power Query
Experience building visualizations in Power BI Desktop
Solid understanding of dimensional modelling concepts
Experience with SQL a plus
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Waystar provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.",3.9,"Waystar
3.9","Louisville, KY",-1,501 to 1000 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
5,Quality Runner,$101K - $163K (Glassdoor est.),"Who We Are
WanderJaunt is building the future of hospitality by bringing the consistency, reliability and service of traditional hotels into the short term rental industry. We provide seamless hospitality experiences for our guests and end-to-end property management services for our partners. Our goal — to create a world where everyone feels at home.
Our diverse set of teams enables us to support operations for single-family homes, converted shipping containers, multifamily properties, and everything in between. Our Design and Procurement teams express our brand promise and sense of style in each market and unit, and our thoughtful, supportive Customer Care team ensures that every guest is noticed and heard. Behind the scenes, we leverage our Engineering, Product, and Data Science talent to scale our ability to deliver great experiences over and over again.
Our Values
You pull together - You have excellent communication skills and you love working cross-functionally to solve problems that cut across people, software, process and real-world logistics. You believe there's no such thing as ""someone else's problem"" and want to collaborate and problem solve anywhere you can.
You cut the fluff - You love getting honest feedback, and you're unafraid to voice your opinions even if they might be unpopular. You believe honesty is the best way to an open heart, better performance, and stronger relationships.
You go full throttle - You're all about impact and ownership. You act with urgency because you're confident in your convictions, and you're comfortable being uncomfortable.
You dive deep - Even if you're not exactly sure about something or how to do something, you figure it out! You'll find the root of the issue first and work our way up because understanding the fundamentals is just the beginning of improvement.
Building Inclusive Environments
We strive to create a world where everyone feels at home, whether they're on the road, at work, or in their local community. We value the input and experiences of people from all walks and stages of life and incorporate this ethos in all we do. By drawing on unique perspectives we can build environments that are safe, comforting, and empowering — starting with our own home.
About the Role
We are looking for individuals that love working with their hands and are happy to work outside of an office. As an Operations Associate, you will help build and run the day-to-day operations, serving in a variety of roles ranging from furnishing our properties and building furniture, to maintaining our properties to ensure they are in the best conditions.
What You'll Do
Be responsible for basic maintenance, drop-offs and guest assistance
Be a versatile problem-solver, able to come up with quick solutions to problems that may arise in our units; quick on your feet
Be familiar working with basic tools
Act as the eyes on the ground for our customer experience team and coordinate with them to solve guest problems;
Document and improve our daily operations to help us run more smoothly and efficiently;
Assisting team members with furniture replacements
Ensure great guest stay by providing items as needed;
Basic preventative maintenance as needed
What You'll Need
Hardworking with a can-do attitude
Be able to work nights and weekends
Diligent, organized, and dependable
Excellent communicator with a positive affect
Previous experience working with hands and tools is a plus (construction, home maintenance, landscaping, painting, roofing, etc)
Self-starter and will help out wherever needed
Ability to balance attention to detail with swift execution - we need to do things quickly, and we need to do them well
Must have legal authorization to work in the United States
Must be willing to submit to a Criminal Background Check
Must have valid drivers license

Compensation
Employer-paid health insurance with dental and vision
Weekly payroll
Pay $13/hr",3.9,"WanderJaunt
3.3","Phoenix, AZ",-1,51 to 200 Employees,2016,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,-1
6,SharePoint/Data Engineer,$101K - $163K (Glassdoor est.),"General Responsibilities:
Provide SharePoint site collection administrator duties across multiple networks and security enclaves
Knowledge Management activities
Provide training and customer service support to over 300 garrison based and globally deployed units
Manage and process intel data associated with the respective systems
Produce usage and process metrics specific to the requesting organization(s)
Process improvement
Documentation to include quick reference/admin guides/training manuals
Up to 10% travel may be required
Other duties as required
Mandatory Skills Requirements:
TS//SCI clearance in JPAS without exceptions or flags
Excellent communication skills
Self-starter/team player/willing to learn
SharePoint site collection administration
Requirements collection
Proficient with Excel (formulas, pivot tables, charts)
Experience conducting data analytics, developing visualizations, and producing reports
Experience providing user training and developing training materials
Other Skills Preferred:
Prior DoD/USMC experience
MKG knowledge/experience/history
Experience with ISToRE (use, administration, training)
Structured Query Language (SQL) and databases
Experience with dashboarding tools such as Tableau, Power BI, Qlik
Experience developing computer-based training (CBT) modules especially inside SharePoint
Experience with scripting (Python, PowerShell, Batch, etc…)
Experience integrating large data sets (structured and unstructured) into usable information
Job Type: Full-time
Pay: From $100,000.00 per year
Benefits:
Dental insurance
Disability insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to Commute/Relocate:
Quantico, VA 22134 (Preferred)
Education:
High school or equivalent (Preferred)
Experience:
Excel: 1 year (Preferred)
Data Analytics & Visualizations: 1 year (Preferred)
SharePoint: 1 year (Preferred)
Developing training materials and/or providing training: 1 year (Preferred)
Python, PowerShell, and/or Batch scripting: 1 year (Preferred)
Security Clearance:
Top Secret (Required)
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
This Job Is:
A job for which military experienced candidates are encouraged to apply
Open to applicants who do not have a college diploma
Company's website:
www.excelerated-analytics.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process",3.9,Excelerated Analytics LLC,"Quantico, VA",-1,-1,-1,-1,-1,-1,-1,-1
7,Application and Data Specialist,$101K - $163K (Glassdoor est.),"Minnesota Valley Electric Cooperative (MVEC), a progressive south-west metro member-owned electric utility with 100 employees, is seeking a Data and Application Specialist to join the team.
The Data and Application Specialist supports MVEC’s IT applications, data, and business intelligence environments. Responsible for lifecycle management of business applications including: application support, database maintenance and software upgrades. Will analyze data to provide insightful, actionable information utilizing a strong data background including SQL, database architecture, report & dashboard development, and experience with Business Intelligence Applications. Maintains security of these applications while ensuring a positive and productive end user experience. Assists the IT Systems Analyst with supporting client-side applications, as well as backing up the IT Business Consultant with iVue, report development and system integrations.
DUTIES AND RESPONSIBILITIES:
Applications - Implement, maintain, upgrade, and support IT applications. Responsible for aligning capabilities with business needs, user training, security, and overall application performance.
Data - Maintain database health, work with vendors to ensure application specific database performance, security and backups. Business Intelligence - reporting and visualization of data.
Assist IT Business Consultant with back-end system integrations, maintaining conceptual data-flow model for systems integrations, and ensuring overall data integrity
Work with team members on process improvements, system upgrades, and changes. Training them on what's new to ensure efficiency of Cooperative applications.
EDUCATION AND EXPERIENCE:
Bachelor’s degree concentrated in related discipline – IT, MIS, Computer or Data Science, etc. - Preferred
Minimum of 4 years combined education and work experience - Required
Project Management experience – Preferred
Experience with energy utilities – Preferred
Experience with business application support - Preferred
KNOWLEDGE, SKILLS AND ABILITIES:
Knowledgeable in business analysis, data analysis, and application analysis.
Working knowledge of IT software, hardware and basic networking.
Working knowledge of relational databases, design methodologies, extraction, and SQL.
Working knowledge of database administration and report development.
Ability to quickly learn, master, and teach others about MVEC business applications.
Strong business acumen - very articulate and able to communicate effectively at all levels.
Support advanced technologies, apply analytical problem solving, and implement process enhancements that improve business operations.
Applicant must be committed to providing service beyond members’ expectations and follow through on commitments.
Application deadline is Thursday, 2/4/2021 at 3pm.
EOE
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Associate (Required)
Company's website:
www.mvec.net
Company's Facebook page:
https://www.facebook.com/minnesotavalleyelectriccooperative
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",3.9,Minnesota Valley Electric Cooperative,"Jordan, MN",-1,-1,-1,-1,-1,-1,-1,-1
8,Sr Product Development Consultant,$101K - $163K (Glassdoor est.),"Simbex is an experienced medical device and consumer health product design and development partner that excels in transforming your most complex ideas into game-changing commercial solutions.

The Sr Product Development Consultant is an experienced MedTech developer who can lead the development of novel medical device and consumer health products across a wide range of technical domains and markets. The ideal candidate will be comfortable working directly with clients, organizing and leading teams. The Sr Product Development Consultant will work with clients to understand their business and product needs including product definition, development strategy, systems level design, system integration, and product verification/validation. The Sr. Product Development Consultant will work with project and cross-functional teams at Simbex to deliver innovative technical solutions that exceed client expectations. Simbex works across many different markets within the medical device, digital health, and consumer health markets. This is a great opportunity to be at the front edge of these markets by working with innovators commercializing the next frontier of transformative products.
Essential Functions
Work directly with clients and end-users to understand business and market needs, and to bring value to our client throughout our engagements
Manage client relations including progress updates, management updates, and project finances
Lead the design of innovative solutions that meet client needs with project and cross-functional teams. Helps develop a vision of what a product solution could be and helps communicate this vision to both client and internal product development teams
Collaborate with senior engineering staff to help architect/design/develop scalable and innovative products
Lead product development teams to efficiently and effectively execute product development plans
Meaningfully contribute to product development in multiple disciplines (Electrical, Software, and Mechanical engineering)
Actively participate in tasks that include product conceptualization, prototyping, test and evaluation, and design for manufacture
Contribute to the assessment and development of novel technical solutions to support and inform future product development strategies or opportunities for improvement within Simbex
Assist Business Development in client acquisition and early engagement support
Lead and mentor project team members
Be a key contributor in meeting Simbex goals and objectives with a commitment to our core values of passion, integrity, openness, innovation, agility, and social responsibility

BS in Systems Engineering, Biomedical Engineering, Electrical Engineering, CS/Software Engineering, or Mechanical Engineering (or equivalent in a technical/scientific field); MS preferred.
10+ years of product development experience
The ideal candidate is someone with demonstrable experience in commercializing electromechanical systems and isn’t afraid to work side-by-side with the engineering teams. The candidate will have a broad technical background with deep experience in a 1-2 domains.
Able to communicate technical information effectively to a wide audience, both verbally and in writing.
Technical understanding and demonstrable level of competency in a wide variety of domains including data science, software, embedded hardware, mechanical engineering
Understanding of industry best practices used for development and product life cycle management
Understands the market dynamics that impact product design including clinical workflows, regulatory, and reimbursement/payment challenges
Demonstrable ability to find creative and unique solutions
Experience with medical device design and development processes that conform to standards including: ISO 9000, ISO 13485, IEC 62304, IEC 60601, and ISO 14971.
Ability to review technical work product including schematics/board layouts, mechanical CAD drawings, software code, and data analysis software
Demonstrable experience and familiarity with GMP and design control processes as defined by ISO and FDA guidelines
Highly adaptable to changing business needs and product landscapes, maintaining a positive outlook and inspiring/motivating others
Passionate about innovation and bringing game-changing new products to market, and be creative and driven to solve complex problems

At this time, Simbex is unable to sponsor employment Visas and will only consider applicants who are authorized to work in the United States.",3.9,"Simbex
3.6","Lebanon, NH",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
9,Partner Enablement,$101K - $163K (Glassdoor est.),"Imagine New Horizons......
Do you want to be inspired and enjoy coming to work? At Dassault Systèmes, we empower our employees and support their passion to change the world and build the future. Let’s design new horizons together with the power of 3DEXPERIENCE virtual universes!
Dassault Systemes’ BIOVIA brand is committed to enhancing and speeding innovation, improving productivity and compliance, reducing costs, and accelerating product development from research and product ideation through commercialization and manufacturing for science-driven enterprises of all industries.
What Will Your Role Be?
The Service Partner Enablement will collaborate with the Professional Service leadership team and cross-functional stakeholders in various organizations to (i) establish a Professional Service enablement program and (ii) define appropriate training and certification paths related to the implementation of BIOVIA products. You will be responsible for ensuring our channel partners and Dassault Systemes BIOVIA Service employees have the skills and training needed to successfully provide service to BIOVIA solutions. In this role you will be a mentor to Dassault Systemes BIOVIA Service employees and channel partners by providing implementation design guidance and best practices.


The Challenges Ahead:
Define the onboarding and enablement process for new partners/new Dassault Systemes BIOVIA Service employees from a PS perspective
Create the service implementation training and certification program required; Develop and package useful content, Curate tools and make internally accessible and partner friendly (such as platform, partner portal, demos, videos)
Schedule and Deliver training sessions, remote or onsite
Ensure regular updates to the program based on product release
Develop community content for partners
Act as a conduit for partner and PS Management feedback into BIOVIA to improve the partner program, the partner ecosystem, and the success of BIOVIA customers
Estimating 35% travel, including both international and domestic

Your Key Success Factors:
Experience in service delivery/program management processes
Experience in designing and executing partner strategy and in supporting them in the achievement of business goals as a Partner; or previous experience leading technical training for employees or customers for a Software company
A working knowledge of channel, SI, partner ecosystems a strong plus
Excellent public speaker and communicator (Customer and Executive interface)
Strong project management and organizational skills required, with the ability to operate effectively with multiple priorities
Outstanding writing and editing skills with ability to write for different audiences/cultures, using different formats and channels
Ability to build strong relationships with cross-functional teams and stakeholders and across partner organizations
Possesses product/technology/industry knowledge as well as a broad understanding of complex customer environments
Life sciences background is not required but useful
Bachelor’s degree or higher, in scientific degree, such as in biology, chemistry, or data science
*******Flexiblity on work location",3.9,"Dassault Systèmes
3.6","San Diego, CA",-1,10000+ Employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
