,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?
Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?
Do you value working in a creative and collaborative environment?
If so, we are looking for someone like you to join our team!
The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to:",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",-1,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
1,Principal Software Engineer: macOS Sensor - Secureworks,$79K - $136K (Glassdoor est.),"Secureworks® (NASDAQ: SCWX) a global cybersecurity leader, enables our customers and partners to outpace and outmaneuver adversaries with more precision, so they can rapidly adapt and respond to market forces to meet their business needs. With a unique combination of cloud-native, SaaS security platform and intelligence-driven security solutions, informed by 20+ years of threat intelligence and research, no other security platform is grounded and informed with this much real-world experience. www.secureworks.com

We enjoy competitive compensation and benefits packages, and reward and recognize our employees for exceptional results. A constant focus on continued learning and growth keeps our team members engaged and excited about “what’s next.” We offer flexible work options when available, and emphasize the importance of work-life balance. We know that when our people are rewarded, recognized, and rejuvenated, we win as a team.



Our Red Cloak sensor team is looking for a Principal Software Engineer with deep knowledge of macOS/Darwin to drive the next-generation endpoint capabilities of our new product offerings, which you can explore . You will work in a fast-paced, startup-like environment with an experienced, cross-functional team of software engineers, data scientists, and security experts to develop our next generation endpoint sensor that seamlessly integrates with our cloud-native security analytics platform. If you love computer security and digging into complex engineering challenges, then we want your help securing human progress!

The ideal candidate will have a computer science background with an emphasis on operating systems and computer security. Your focus will be on the macOS agent, but many features cut across OS subsystems such as collecting telemetry from processes, networking, and file systems. Your code will be used in a lean agent that delivers security by building on proven, pre-existing mechanisms inside macOS in order to minimize its footprint. The agent has shared components across multiple platforms, so experience with Windows or Linux system-level development is also a plus. With a background in macOS kernel and driver development, we expect most will have extensive experience with C, but experience or interest with Golang is a strong plus and will be heavily utilized.



Secureworks (A Dell Technologies Company) is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Secureworks are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Secureworks will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Secureworks.",4.7,"Secureworks
3.9",Georgia,-1,1001 to 5000 Employees,1999,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),-1
2,"Senior, Business Data Analyst",$79K - $136K (Glassdoor est.),"Position Summary
Analyzes, forecasts and reports on various commercial and operational activities related to Enable’s Transportation & Storage and Gathering & Processing systems. Provides varied and complex management and/or operational analysis, reports and recommendations in support of business/departmental programs. Performs various evaluations, controls, and calculations to produce, support and maintain data system integrity. Integrates and compiles data into quantifiable summaries, models and forecasts for development, review and approval of issue action plans. Develops recommendations to improve operational processes based on analysis.

This position requires comprehensive knowledge within a functional area. Work is performed under general direction and is reviewed upon completion for adequacy in meeting objectives and to ensure compliance with processes, standards and policies of the organization. Provides technical solutions to a wide range of difficult and complex problems. Solutions are imaginative, thorough, practical, and consistent with the objective of the organization. May train and mentor less experienced professionals.",4.7,"Enable Midstream Partners
3.6","Oklahoma City, OK",-1,201 to 500 Employees,-1,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD),-1
3,Data Scientist,$79K - $136K (Glassdoor est.),"Overview


The Data Scientist is responsible for using advanced statistical, algorithmic, machine learning, data mining and visualization techniques to help advance and complete client projects. The Data Scientist must also be able to communicate complex quantitative analyses in a clear, precise, and actionable manner to management and executive level audiences.

Responsibilities
Working directly with client stakeholders to understand and define analysis objectives and then translate these into actionable results.




Excella is a leading provider of Agile software development and data and analytics solutions to clients in the federal, commercial and non-profit sectors. We believe that great work leads to great things –- our experts measure success by the positive impact we make on our clients, community, and colleagues. We are growing fast and need passionate, innovative people who love working with technology and are ready to make an impact.

Here's what you can expect from us:",4.7,"Excella Consulting
4.0","Arlington, VA",-1,201 to 500 Employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
4,Senior Data Scientist,$79K - $136K (Glassdoor est.),"About Fracta
Fracta.ai usesmachine learning and big data to optimize infrastructure investments – starting with water pipe network replacement solutions for water utilities worldwide. Our mission is to help utilities manage and conserve resources through the creation of intelligent infrastructure. Fracta gives utility companies the most comprehensive view of conditions, allowing them to optimize replacement decisions and reduce costs by as much as 40 percent.
About the Role
We are looking for a results-driven, motivated Senior Data Scientist who is passionate about creating world-class machine learning models and predictions. This is a very senior role which will allow you to test innovative techniques and models to improve the accuracy of our core algorithm and create a huge impact at the company. It is a role which requires creativity and a keen ability to solve difficult data problems. We take personal development seriously, so all members of the data science team receive mentoring and opportunities to grow in their careers.",4.7,Fracta,"Redwood City, CA",-1,-1,-1,-1,-1,-1,-1,-1
5,North America eCommerce Analytics Manager,$79K - $136K (Glassdoor est.),"North America eCommerce Analytics Manager
Job Description
Role Summary:
This role is responsible for setting the overall strategy and implementing capabilities in eCommerce analytics, becoming a key member of the North America Kimberly-Clark Professional (KCP) team in reaching their revenue goals. It requires outstanding communication and influencing skills. Must be able to communicate complex ideas and findings in a succinct, easy-to-understand way. Ability to help the business articulate their critical questions, formulate hypotheses and illuminate results is essential. Consistent collaboration with internal teams, agency partners, and channel partners like Amazon, is also key.
This role is available for local candidates already authorized to work in the role’s country only. K-C will not provide relocation support for this role.
USA-GA-Atlanta-Roswell
Employee
Regular
Full time",4.7,"Kimberly-Clark Corporation
4.0","Roswell, GA",-1,10000+ Employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
6,BI Engineer AWS & Ingestion,$79K - $136K (Glassdoor est.),"Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.

We now turn to the next leg, developing the technological tools that make our vision of financial health for all a reality. Atypical for the financial services industry, we take a contemporary approach to strategy and product development that is founded in user insights, rapid testing and a singular focus on driving end-user value.

Since charting new territory on a daily basis is part of everyone's job at Blucora, we've attracted team members who thrive on the challenge, encourage each other, and are passionately committed to the goal. If you agree that problem- solving is a team sport, and feel energized by a good debate, deep dive research, or a fun night out with colleagues, we might be the right firm for you!



Blucora, the parent company to Avantax Wealth Management and TaxAct, is seeking a BI Engineer AWS & Ingestion who will be working in a large, complex, and dynamic data environment. We are looking for an experienced Data Engineer with an uncanny ability to integrate multiple heterogeneous data sources to build efficient, flexible, and scalable data warehouses and reporting solutions. The ideal candidate has deployed analytics platforms across diverse enterprises, optimizing the architecture for performance and positive end-user experience. You relish working with large volumes of data, enjoy the challenge of highly complex technical contexts (such as tax and wealth management systems), and above all are passionate about data and analytics. You are enthusiastic about learning new technologies and implementing solutions using these technologies to empower internal customers and scale the platform. The candidate will need to demonstrate crisp communication skills and the ability to partner across technical and non-technical teams to develop and define key business questions, then build solutions that answer those questions.

In this role, you will serve as the expert in designing, implementing, and operating a stable, scalable environment to flow information from the data warehouse into end-user facing reporting applications. Above all, you will bring large datasets together to answer critical business questions and drive strategic decision making.



To perform the job successfully, candidates must be able to execute the following essential capabilities.


We offer a competitive salary, outstanding benefits package that includes medical, dental, vision, life insurance, paid vacation and sick days, paid holidays, tuition reimbursement, and 401(k) with company match.

#Blucora

At Blucora, we believe our work benefits from the diverse perspectives of our employees. As such, Blucora welcomes and celebrates diversity and inclusion and is committed to equal opportunity employment. At Blucora, you can expect a supportive, open and inclusive atmosphere and a team that values your contributions.

Blucora, Inc. and its subsidiaries, Avantax Wealth Management, HK Financial Services, and TaxAct are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants without regard to race, color, religion, sex, national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, veteran status, and any other status protected under federal or state law. Blucora, considers information gathered in the hiring process, including information on this application, confidential, and only shares it on a need-to know basis or as required by law. If you need assistance or an accommodation due to a disability, you may contact us at HR@Blucora.com or by calling 972-870-6000 to speak with a member of the HR Talent Acquisition team.",4.7,"Blucora
3.5","Dallas, TX",-1,501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD),-1
7,Claims Data Analyst,$79K - $136K (Glassdoor est.),"This position supports the independent agent Claims department and can be located in Garden City, New York, Wall, or Parsippany, New Jersey. You will start your Claims Analyst role at home and then transition to working in one of our 3 office locations listed above when they reopen.
The Claims Analyst’s mission will be to provide support to the Claims Department’s Operations and Management Teams. The successful candidate will participate in a broad range of data management, reporting and analytical activities designed to help Plymouth Rock maintain and extend its competitive edge with respect to loss management, claims customer service, expense control, and employee engagement.

Essential Functions and Responsibilities
Management reporting, developing and maintaining information systems",4.7,"Plymouth Rock Assurance
3.7","Garden City, NY",-1,1001 to 5000 Employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),-1
8,Senior Healthcare Data Analyst,$79K - $136K (Glassdoor est.),"Trellis Rx is a technology-enabled service provider that partners with health systems to fund, build, and operate world-class specialty pharmacies on their behalf, with their brand. Trellis enables health systems to deliver enhanced experiences and outcomes by helping them offer concierge level clinical and administrative support to patients throughout their course of therapy. We believe pharmacists and pharmacy technicians are critical additions to the care team and that an exceptional pharmacy team makes superior results possible.

The Senior Healthcare Data Analyst provides analytical and consultative support to our prospective customers and to our commercial organization to accurately model and design recommended specialty pharmacy services. The primary focus of the position is to help to develop financial and operational plans for the creation of a new or accelerated specialty pharmacy service lines within leading health systems across the country. Working alongside the Vice President, Customer Solutions, the Senior Analyst has responsibility for modeling the specialty therapy patterns at specific health systems and the resulting clinical and financial implications of a partnership with Trellis Rx. They contribute significantly to business development, financial forecasting, and customer operations at Trellis, and aid the sales team by engaging with prospects in a meaningful way.",4.7,"Trellis Rx
5.0","Atlanta, GA",-1,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
9,Senior Data Scientist,$79K - $136K (Glassdoor est.),"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.
Principal Responsibilities:",4.7,"Alliant Cooperative Data Solutions
3.6","Brewster, NY",-1,1 to 50 Employees,2003,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD),-1
